"PROBEID","GENENAME","SYMBOL"
"1377662_at","pirin","Pir"
"1377666_at","choline dehydrogenase","Chdh"
"1377669_at","RAB27A, member RAS oncogene family","Rab27a"
"1377672_at","sulfotransferase family 1C member 2","Sult1c2"
"1377689_at","kinetochore associated 1","Kntc1"
"1377697_at","amyloid beta precursor protein binding family B member 2","Apbb2"
"1377698_at","CD40 molecule","Cd40"
"1377755_at","activating signal cointegrator 1 complex subunit 3","Ascc3"
"1377759_at","BH3 interacting domain death agonist","Bid"
"1377761_at","glutamine-fructose-6-phosphate transaminase 2","Gfpt2"
"1377765_at","chloride intracellular channel 4","Clic4"
"1377784_at","glycine amidinotransferase","Gatm"
"1377787_at","RNA binding motif protein 6","Rbm6"
"1377812_a_at","C2CD2-like","C2cd2l"
"1377821_at","erb-b2 receptor tyrosine kinase 3","Erbb3"
"1377827_at","serum response factor binding protein 1","Srfbp1"
"1377829_at","centrosomal protein 57","Cep57"
"1377832_at","polo-like kinase 4","Plk4"
"1377863_at","lysine demethylase 5B","Kdm5b"
"1377908_at","Cd4 molecule","Cd4"
"1377916_at","schlafen family member 2","Slfn2"
"1377943_at","CD86 molecule","Cd86"
"1377945_at","DEAD-box helicase 18","Ddx18"
"1377953_at","nebulin","Neb"
"1377962_at","MYB proto-oncogene like 2","Mybl2"
"1377967_at","chromatin licensing and DNA replication factor 1","Cdt1"
"1378015_at","C-C motif chemokine ligand 21","Ccl21"
"1378028_at","mitotic arrest deficient 2 like 1","Mad2l1"
"1378056_at","geminin, DNA replication inhibitor","Gmnn"
"1378072_at","ATPase family, AAA domain containing 5","Atad5"
"1378112_at","lysine acetyltransferase 6A","Kat6a"
"1378133_at","solute carrier family 7 member 11","Slc7a11"
"1378140_at","ADP-ribosylation factor like GTPase 11","Arl11"
"1378169_at","acyl-CoA thioesterase 3","Acot3"
"1378180_at","dCMP deaminase","Dctd"
"1378221_at","serum response factor binding protein 1","Srfbp1"
"1378237_at","mitogen-activated protein kinase 9","Mapk9"
"1378239_at","alpha glucosidase","Gaa"
"1378240_at","FA complementation group D2","Fancd2"
"1378248_at","amyloid beta precursor protein binding family B member 2","Apbb2"
"1378255_at","SMAD family member 5","Smad5"
"1378282_at","casein kinase 2 alpha 2","Csnk2a2"
"1378288_at","solute carrier family 51 member A","Slc51a"
"1378294_at","F-box and leucine-rich repeat protein 12","Fbxl12"
"1378321_at","Ras association domain family member 4","Rassf4"
"1378376_at","cysteine-rich hydrophobic domain 2","Chic2"
"1378380_at","p21 (RAC1) activated kinase 4","Pak4"
"1378392_at","DnaJ heat shock protein family (Hsp40) member A3","Dnaja3"
"1378427_at","bone morphogenetic protein 6","Bmp6"
"1378443_at","SLAM family member 9","Slamf9"
"1378457_at","thyroid hormone receptor beta","Thrb"
"1378475_at","amyloid beta precursor protein binding protein 2","Appbp2"
"1378506_at","phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha","Pik3c2a"
"1378507_at","denticleless E3 ubiquitin protein ligase homolog","Dtl"
"1378530_at","protein phosphatase 2 regulatory subunit B', epsilon","Ppp2r5e"
"1378533_at","notch receptor 4","Notch4"
"1378537_at","E2F transcription factor 7","E2f7"
"1378564_at","nuclear receptor subfamily 2, group F, member 6","Nr2f6"
"1378592_at","tripartite motif-containing 59","Trim59"
"1378622_at","cyclin-dependent kinase 6","Cdk6"
"1378629_at","SATB homeobox 1","Satb1"
"1378640_at","ubiquitin-like with PHD and ring finger domains 1","Uhrf1"
"1378692_at","paired box 8","Pax8"
"1378729_at","translocase of outer mitochondrial membrane 34","Tomm34"
"1378739_at","cell death-inducing DFFA-like effector c","Cidec"
"1378741_at","protein phosphatase 2, regulatory subunit B'', gamma","Ppp2r3c"
"1378791_at","mitogen activated protein kinase kinase kinase 4","Map3k4"
"1378792_at","growth regulating estrogen receptor binding 1","Greb1"
"1378801_at","GATA binding protein 3","Gata3"
"1378819_at","aspartate dehydrogenase domain containing","Aspdh"
"1378827_at","bone morphogenetic protein 6","Bmp6"
"1378845_at","protein kinase AMP-activated non-catalytic subunit beta 2","Prkab2"
"1378874_at","cyclin dependent kinase 2","Cdk2"
"1378936_at","cleavage stimulation factor subunit 2","Cstf2"
"1378954_at","phosphatidylinositol 4-kinase alpha","Pi4ka"
"1378976_x_at","exosome component 4","Exosc4"
"1379028_at","sperm associated antigen 7","Spag7"
"1379041_at","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha","Pik3ca"
"1379046_at","malectin","Mlec"
"1379071_at","beta-1,4-galactosyltransferase 2","B4galt2"
"1379195_s_at","DNA ligase 1","Lig1"
"1379206_at","transmembrane protein 38a","Tmem38a"
"1379215_at","YTH N6-methyladenosine RNA binding protein F1","Ythdf1"
"1379234_a_at","cell division cycle 45","Cdc45"
"1379235_x_at","cell division cycle 45","Cdc45"
"1379237_at","Tax1 binding protein 3","Tax1bp3"
"1379240_at","mannose binding lectin 2","Mbl2"
"1379245_at","thioredoxin domain containing 9","Txndc9"
"1379248_at","prolylcarboxypeptidase","Prcp"
"1379250_at","galactose mutarotase","Galm"
"1379262_at","acyl-CoA thioesterase 9","Acot9"
"1379285_at","receptor (chemosensory) transporter protein 4","Rtp4"
"1379295_at","G protein subunit gamma transducin 2","Gngt2"
"1379298_at","interferon alpha and beta receptor subunit 1","Ifnar1"
"1379302_at","recombination signal binding protein for immunoglobulin kappa J region","Rbpj"
"1379312_at","PPARG related coactivator 1","Pprc1"
"1379339_at","isochorismatase domain containing 1","Isoc1"
"1379340_at","laminin subunit gamma 2","Lamc2"
"1379341_at","USP6 N-terminal like","Usp6nl"
"1379344_at","cytochrome b-245 beta chain","Cybb"
"1379347_at","IKBKB interacting protein","Ikbip"
"1379351_at","mitochondrial calcium uniporter regulator 1","Mcur1"
"1379361_at","peroxisomal biogenesis factor 11 alpha","Pex11a"
"1379375_at","platelet derived growth factor subunit A","Pdgfa"
"1379388_at","sorting nexin 13","Snx13"
"1379390_at","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","St6galnac2"
"1379393_at","villin 1","Vil1"
"1379402_at","ATP binding cassette subfamily C member 4","Abcc4"
"1379420_at","dehydrogenase/reductase 7","Dhrs7"
"1379423_at","Ras suppressor protein 1","Rsu1"
"1379433_at","phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha","Pik3c2a"
"1379448_at","Ttk protein kinase","Ttk"
"1379451_at","single-stranded DNA binding protein 2","Ssbp2"
"1379487_at","serine palmitoyltransferase, long chain base subunit 2","Sptlc2"
"1379528_at","presenilin 1","Psen1"
"1379542_at","small nuclear ribonucleoprotein polypeptide F","Snrpf"
"1379554_at","protein phosphatase 2 regulatory subunit B', epsilon","Ppp2r5e"
"1379555_at","X-linked inhibitor of apoptosis","Xiap"
"1379568_at","interferon-induced protein with tetratricopeptide repeats 2","Ifit2"
"1379581_at","mitogen-activated protein kinase 1 interacting protein 1-like","Mapk1ip1l"
"1379582_a_at","cyclin A2","Ccna2"
"1379592_at","solute carrier family 25 member 13","Slc25a13"
"1379606_at","RAB30, member RAS oncogene family","Rab30"
"1379613_at","poly (ADP-ribose) polymerase family, member 14","Parp14"
"1379626_at","SATB homeobox 1","Satb1"
"1379627_at","transmembrane 9 superfamily member 3","Tm9sf3"
"1379643_at","cytochrome P450, family 19, subfamily a, polypeptide 1","Cyp19a1"
"1379649_at","glucoside xylosyltransferase 1","Gxylt1"
"1379744_at","HPS5, biogenesis of lysosomal organelles complex 2 subunit 2","Hps5"
"1379760_at","TNF alpha induced protein 8 like 2","Tnfaip8l2"
"1379770_at","choline phosphotransferase 1","Chpt1"
"1379785_at","solute carrier family 1 member 4","Slc1a4"
"1379801_at","spermatid perinuclear RNA binding protein","Strbp"
"1379803_at","LIM domain only 4","Lmo4"
"1379829_at","Myc binding protein","Mycbp"
"1379863_at","potassium voltage-gated channel subfamily D member 2","Kcnd2"
"1379876_at","component of oligomeric golgi complex 7","Cog7"
"1379882_a_at","discoidin domain receptor tyrosine kinase 2","Ddr2"
"1379889_at","laminin subunit gamma 2","Lamc2"
"1379896_at","DEAD-box helicase 42","Ddx42"
"1379904_at","trafficking protein particle complex subunit 6A","Trappc6a"
"1379911_at","death associated protein kinase 1","Dapk1"
"1379919_at","CASP8 and FADD-like apoptosis regulator","Cflar"
"1379935_at","C-C motif chemokine ligand 7","Ccl7"
"1379942_at","SRY-box transcription factor 2","Sox2"
"1379967_at","zinc finger protein 367","Zfp367"
"1379982_at","nuclear receptor interacting protein 1","Nrip1"
"1379992_at","glycerophosphodiester phosphodiesterase domain containing 3","Gdpd3"
"1380015_at","carnitine O-octanoyltransferase","Crot"
"1380021_at","DENN domain containing 2D","Dennd2d"
"1380024_at","mitogen-activated protein kinase 9","Mapk9"
"1380029_at","ATM interactor","Atmin"
"1380053_at","transmembrane 9 superfamily member 3","Tm9sf3"
"1380063_at","cholesterol 25-hydroxylase","Ch25h"
"1380064_at","DNA methyltransferase 3 alpha","Dnmt3a"
"1380068_at","ADP-ribosylation factor interacting protein 2","Arfip2"
"1380071_at","poly (ADP-ribose) polymerase family, member 12","Parp12"
"1380077_at","integrin subunit alpha X","Itgax"
"1380104_at","coagulation factor IX","F9"
"1380110_at","Janus kinase 2","Jak2"
"1380139_at","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","St3gal1"
"1380157_at","ubiquitin-conjugating enzyme E2G 2","Ube2g2"
"1380158_at","TPD52 like 2","Tpd52l2"
"1380172_at","kinesin family member 5C","Kif5c"
"1380229_at","MAF bZIP transcription factor F","Maff"
"1380235_at","heparan sulfate 2-O-sulfotransferase 1","Hs2st1"
"1380243_at","MMS22-like, DNA repair protein","Mms22l"
"1380262_at","serum/glucocorticoid regulated kinase 2","Sgk2"
"1380274_at","sepiapterin reductase","Spr"
"1380297_at","caspase 8","Casp8"
"1380324_at","MICAL-like 1","Micall1"
"1380336_at","interleukin-1 receptor-associated kinase 3","Irak3"
"1380366_at","immunoglobulin heavy chain 6","Igh-6"
"1380377_at","Bruton tyrosine kinase","Btk"
"1380384_at","growth differentiation factor 7","Gdf7"
"1380393_at","crystallin zeta","Cryz"
"1380526_at","glutaryl-CoA dehydrogenase","Gcdh"
"1380532_at","DnaJ heat shock protein family (Hsp40) member B2","Dnajb2"
"1380533_at","amyloid beta precursor protein","App"
"1380537_at","NCK associated protein 1 like","Nckap1l"
"1380561_at","isoleucyl-tRNA synthetase 2, mitochondrial","Iars2"
"1380566_at","C2CD2-like","C2cd2l"
"1380568_a_at","damage specific DNA binding protein 2","Ddb2"
"1380577_at","ATP binding cassette subfamily G member 2","Abcg2"
"1380596_at","desmoglein 2","Dsg2"
"1380609_at","legumain","Lgmn"
"1380611_at","FKBP prolyl isomerase 5","Fkbp5"
"1380638_at","nuclear receptor coactivator 3","Ncoa3"
"1380655_at","MOK protein kinase","Mok"
"1380682_at","mex-3 RNA binding family member B","Mex3b"
"1380692_at","RB transcriptional corepressor like 1","Rbl1"
"1380699_at","zinc finger E-box binding homeobox 2","Zeb2"
"1380726_at","asporin","Aspn"
"1380746_at","aryl-hydrocarbon receptor repressor","Ahrr"
"1380753_at","PAT1 homolog 1, processing body mRNA decay factor","Patl1"
"1380763_at","spermatid perinuclear RNA binding protein","Strbp"
"1380764_at","ribosomal RNA processing 1B","Rrp1b"
"1380775_at","kinesin family member 20B","Kif20b"
"1380812_at","FAM20B, glycosaminoglycan xylosylkinase","Fam20b"
"1380822_at","purinergic receptor P2Y12","P2ry12"
"1380829_at","lysyl oxidase-like 1","Loxl1"
"1380833_at","glycosylphosphatidylinositol specific phospholipase D1","Gpld1"
"1380854_at","vascular endothelial growth factor B","Vegfb"
"1380867_a_at","pleckstrin homology and RUN domain containing M1","Plekhm1"
"1380873_at","microtubule associated serine/threonine kinase 2","Mast2"
"1380909_at","solute carrier family 25 member 24","Slc25a24"
"1380975_at","protein kinase AMP-activated catalytic subunit alpha 2","Prkaa2"
"1380993_at","FAM20B, glycosaminoglycan xylosylkinase","Fam20b"
"1381067_at","sulfiredoxin 1","Srxn1"
"1381070_at","thymic stromal lymphopoietin","Tslp"
"1381136_at","retinol binding protein 3","Rbp3"
"1381145_at","epidermal growth factor receptor","Egfr"
"1381149_at","DNA methyltransferase 3 alpha","Dnmt3a"
"1381155_at","TBC1 domain family, member 10C","Tbc1d10c"
"1381167_at","TIAM Rac1 associated GEF 1","Tiam1"
"1381193_at","lysophosphatidylglycerol acyltransferase 1","Lpgat1"
"1381217_at","tRNA methyltransferase 6 non-catalytic subunit","Trmt6"
"1381219_at","myosin heavy chain 11","Myh11"
"1381289_at","HAUS augmin-like complex, subunit 8","Haus8"
"1381290_at","glutamate metabotropic receptor 3","Grm3"
"1381298_at","minichromosome maintenance 10 replication initiation factor","Mcm10"
"1381403_at","malic enzyme 2","Me2"
"1381470_at","KIT proto-oncogene receptor tyrosine kinase","Kit"
"1381504_at","asporin","Aspn"
"1381528_at","ST3 beta-galactoside alpha-2,3-sialyltransferase 2","St3gal2"
"1381556_at","DEXD/H-box helicase 60","Ddx60"
"1381574_at","alkylglycerol monooxygenase","Agmo"
"1381575_at","nebulin","Neb"
"1381711_at","CASC3 exon junction complex subunit","Casc3"
"1381722_at","perilipin 5","Plin5"
"1381784_at","TBC1 domain family member 9B","Tbc1d9b"
"1381806_at","prostaglandin-endoperoxide synthase 1","Ptgs1"
"1381829_at","zinc finger protein 318","Zfp318"
"1381861_x_at","actin, alpha, cardiac muscle 1","Actc1"
"1381861_x_at","actin alpha 2, smooth muscle","Acta2"
"1381874_at","SRY-box transcription factor 2","Sox2"
"1381918_at","casein kinase 1, alpha 1","Csnk1a1"
"1381933_at","replication factor C subunit 5","Rfc5"
"1381943_at","cysteine-rich hydrophobic domain 2","Chic2"
"1381953_at","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","St6galnac2"
"1381958_at","DNA topoisomerase II binding protein 1","Topbp1"
"1381968_at","cellular repressor of E1A-stimulated genes 1","Creg1"
"1381969_at","recombination signal binding protein for immunoglobulin kappa J region","Rbpj"
"1381973_at","solute carrier family 25, member 30","Slc25a30"
"1381997_at","adiponectin, C1Q and collagen domain containing","Adipoq"
"1382024_at","DnaJ heat shock protein family (Hsp40) member B6","Dnajb6"
"1382026_at","Rho GTPase activating protein 9","Arhgap9"
"1382034_at","aldo-keto reductase family 1, member B8","Akr1b8"
"1382035_at","TATA box binding protein","Tbp"
"1382043_at","unc-93 homolog B1, TLR signaling regulator","Unc93b1"
"1382078_at","toll-like receptor 8","Tlr8"
"1382101_at","heparan sulfate 2-O-sulfotransferase 1","Hs2st1"
"1382105_at","G protein subunit beta 5","Gnb5"
"1382110_at","canopy FGF signaling regulator 3","Cnpy3"
"1382146_at","tetraspanin 6","Tspan6"
"1382150_at","solute carrier family 25, member 46","Slc25a46"
"1382152_at","lysine demethylase 5B","Kdm5b"
"1382153_at","C-type lectin domain family 4, member A","Clec4a"
"1382154_at","protein tyrosine phosphatase, non-receptor type 12","Ptpn12"
"1382160_at","casein kinase 2 alpha 2","Csnk2a2"
"1382163_at","GATA binding protein 3","Gata3"
"1382165_at","survival motor neuron domain containing 1","Smndc1"
"1382186_a_at","G patch domain containing 4","Gpatch4"
"1382187_at","G patch domain containing 4","Gpatch4"
"1382188_at","G patch domain containing 4","Gpatch4"
"1382189_at","syndecan 2","Sdc2"
"1382220_at","insulin-like growth factor 2 mRNA binding protein 2","Igf2bp2"
"1382225_at","Gfo/Idh/MocA-like oxidoreductase domain containing 1","Gfod1"
"1382235_at","NAD kinase 2, mitochondrial","Nadk2"
"1382242_at","zinc finger protein 451","Zfp451"
"1382251_at","karyopherin subunit alpha 1","Kpna1"
"1382252_at","zinc finger E-box binding homeobox 2","Zeb2"
"1382264_at","CREB binding protein","Crebbp"
"1382274_at","retinoic acid receptor responder 1","Rarres1"
"1382275_at","PAK1 interacting protein 1","Pak1ip1"
"1382277_at","lymphocyte antigen 96","Ly96"
"1382287_at","RNA binding protein with serine rich domain 1","Rnps1"
"1382312_at","AT-rich interaction domain 5B","Arid5b"
"1382314_at","ISG15 ubiquitin-like modifier","Isg15"
"1382325_at","glycine C-acetyltransferase","Gcat"
"1382366_at","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha","Pik3ca"
"1382370_at","cyclin F","Ccnf"
"1382371_at","DNA damage regulated autophagy modulator 2","Dram2"
"1382419_at","centromere protein K","Cenpk"
"1382425_at","cytochrome P450, family 19, subfamily a, polypeptide 1","Cyp19a1"
"1382434_at","ectonucleoside triphosphate diphosphohydrolase 5","Entpd5"
"1382467_at","brain expressed X-linked 1","Bex1"
"1382472_at","E2F transcription factor 2","E2f2"
"1382492_a_at","hydroxysteroid (17-beta) dehydrogenase 8","Hsd17b8"
"1382493_at","centromere protein F","Cenpf"
"1382496_at","hepatocyte nuclear factor 4, alpha","Hnf4a"
"1382500_at","sestrin 2","Sesn2"
"1382511_at","E2F transcription factor 1","E2f1"
"1382531_at","toll-like receptor 7","Tlr7"
"1382544_at","ectonucleoside triphosphate diphosphohydrolase 5","Entpd5"
"1382550_at","ribosomal protein S6 kinase A1","Rps6ka1"
"1382554_at","complement C8 alpha chain","C8a"
"1382565_at","mitogen-activated protein kinase 1 interacting protein 1-like","Mapk1ip1l"
"1382569_at","progestin and adipoQ receptor family member 9","Paqr9"
"1382593_at","ETS variant transcription factor 1","Etv1"
"1382599_at","insulin-like growth factor 1","Igf1"
"1382609_at","insulin-like growth factor 2 mRNA binding protein 2","Igf2bp2"
"1382622_at","cystatin F","Cst7"
"1382633_at","cAMP responsive element binding protein 1","Creb1"
"1382667_at","major facilitator superfamily domain containing 10","Mfsd10"
"1382678_at","complement factor H-related 1","Cfhr1"
"1382679_at","WD repeat domain 43","Wdr43"
"1382680_at","perilipin 2","Plin2"
"1382692_at","C-type lectin domain containing 7A","Clec7a"
"1382723_at","potassium two pore domain channel subfamily K member 2","Kcnk2"
"1382756_at","karyopherin subunit alpha 1","Kpna1"
"1382778_at","dual specificity phosphatase 6","Dusp6"
"1382781_at","p21 (RAC1) activated kinase 6","Pak6"
"1382782_at","mitochondrial ribosomal protein S2","Mrps2"
"1382809_at","cold inducible RNA binding protein","Cirbp"
"1382827_at","cyclin A1","Ccna1"
"1382855_at","transcription factor like 5","Tcfl5"
"1382869_at","2-aminoethanethiol dioxygenase","Ado"
"1382874_at","N-acetylneuraminate pyruvate lyase","Npl"
"1382902_at","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6","Herc6"
"1382913_at","cortactin binding protein 2","Cttnbp2"
"1382924_at","pantothenate kinase 1","Pank1"
"1382930_at","tectonic family member 1","Tctn1"
"1382937_at","SAM pointed domain containing ets transcription factor","Spdef"
"1382962_at","lysophosphatidic acid receptor 2","Lpar2"
"1382975_at","CEA cell adhesion molecule 1","Ceacam1"
"1383008_at","structural maintenance of chromosomes 4","Smc4"
"1383015_at","TBC1 domain family, member 10C","Tbc1d10c"
"1383072_at","glycogen phosphorylase, muscle associated","Pygm"
"1383073_at","ubiquitin specific peptidase 14","Usp14"
"1383075_at","cyclin D1","Ccnd1"
"1383082_at","lysine demethylase 5B","Kdm5b"
"1383089_at","RAB21, member RAS oncogene family","Rab21"
"1383091_at","amyloid beta precursor protein binding protein 2","Appbp2"
"1383110_at","kelch-like family member 24","Klhl24"
"1383122_at","protein kinase AMP-activated non-catalytic subunit gamma 2","Prkag2"
"1383123_at","glycogen synthase kinase 3 beta","Gsk3b"
"1383126_at","AKT serine/threonine kinase 1","Akt1"
"1383127_at","ADAM metallopeptidase domain 10","Adam10"
"1383131_at","integrin subunit beta 2","Itgb2"
"1383134_at","cysteinyl-tRNA synthetase 2, mitochondrial","Cars2"
"1383137_at","SRY-box transcription factor 4","Sox4"
"1383143_at","Eph receptor B2","Ephb2"
"1383145_at","lysosomal-associated membrane protein 3","Lamp3"
"1383166_at","nuclear receptor coactivator 1","Ncoa1"
"1383188_at","peroxisome proliferator activated receptor alpha","Ppara"
"1383189_at","TNF superfamily member 10","Tnfsf10"
"1383202_at","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","Lsm6"
"1383216_at","ATM interactor","Atmin"
"1383218_at","SRY-box transcription factor 2","Sox2"
"1383241_at","complement C1r","C1r"
"1383242_a_at","CCAAT/enhancer binding protein alpha","Cebpa"
"1383243_at","CCAAT/enhancer binding protein alpha","Cebpa"
"1383248_at","flavin containing dimethylaniline monoxygenase 5","Fmo5"
"1383250_at","UTP14A small subunit processome component","Utp14a"
"1383251_at","poly (ADP-ribose) polymerase 2","Parp2"
"1383282_at","THAP domain containing 11","Thap11"
"1383288_at","MDM2 proto-oncogene","Mdm2"
"1383291_at","complement C7","C7"
"1383300_at","kelch-like family member 24","Klhl24"
"1383302_at","DnaJ heat shock protein family (Hsp40) member B1","Dnajb1"
"1383303_at","acyl-CoA synthetase medium-chain family member 3","Acsm3"
"1383315_at","tsukushi, small leucine rich proteoglycan","Tsku"
"1383320_at","LCK proto-oncogene, Src family tyrosine kinase","Lck"
"1383333_at","C2 calcium-dependent domain containing 2","C2cd2"
"1383349_at","regulatory factor X5","Rfx5"
"1383360_at","C2 calcium-dependent domain containing 2","C2cd2"
"1383380_at","ribonuclease P/MRP subunit p38","Rpp38"
"1383383_at","cAMP responsive element binding protein 1","Creb1"
"1383391_a_at","complement C2","C2"
"1383392_at","complement C2","C2"
"1383395_at","agmatinase","Agmat"
"1383401_at","testin LIM domain protein","Tes"
"1383413_at","hedgehog acyltransferase-like","Hhatl"
"1383424_at","cytidine/uridine monophosphate kinase 2","Cmpk2"
"1383430_at","tRNA splicing endonuclease subunit 2","Tsen2"
"1383434_at","pyrroline-5-carboxylate reductase 1","Pycr1"
"1383435_at","sodium voltage-gated channel beta subunit 3","Scn3b"
"1383439_at","neuronal PAS domain protein 2","Npas2"
"1383444_at","solute carrier family 24 member 2","Slc24a2"
"1383478_at","Janus kinase 1","Jak1"
"1383485_at","MDM2 proto-oncogene","Mdm2"
"1383486_at","inhibin subunit beta A","Inhba"
"1383491_at","apoptosis enhancing nuclease","Aen"
"1383497_at","glycerate kinase","Glyctk"
"1383502_at","DNA topoisomerase II binding protein 1","Topbp1"
"1383516_at","fibrinogen-like 2","Fgl2"
"1383536_at","dihydrofolate reductase","Dhfr"
"1383543_at","golgi transport 1B","Golt1b"
"1383553_at","NLR family member X1","Nlrx1"
"1383561_at","DNA ligase 4","Lig4"
"1383564_at","interferon regulatory factor 7","Irf7"
"1383572_at","zinc finger DHHC-type palmitoyltransferase 6","Zdhhc6"
"1383578_at","RAD51 recombinase","Rad51"
"1383581_at","suppressor APC domain containing 2","Sapcd2"
"1383586_at","cAMP-regulated phosphoprotein 19","Arpp19"
"1383600_at","solute carrier family 13 member 5","Slc13a5"
"1383653_at","sorting nexin 11","Snx11"
"1383658_at","lysosomal protein transmembrane 5","Laptm5"
"1383661_at","heparan sulfate-glucosamine 3-sulfotransferase 3B1","Hs3st3b1"
"1383664_a_at","transmembrane 7 superfamily member 2","Tm7sf2"
"1383675_at","ribosomal RNA processing 12","Rrp12"
"1383684_at","anti-silencing function 1B histone chaperone","Asf1b"
"1383685_at","HEAT repeat containing 1","Heatr1"
"1383693_at","Eph receptor B2","Ephb2"
"1383711_at","N-myristoyltransferase 1","Nmt1"
"1383719_at","microtubule-associated protein 7","Map7"
"1383721_at","frizzled class receptor 8","Fzd8"
"1383724_at","heparan sulfate 2-O-sulfotransferase 1","Hs2st1"
"1383741_at","STIL, centriolar assembly protein","Stil"
"1383742_at","sorting nexin 7","Snx7"
"1383747_at","epithelial cell transforming 2","Ect2"
"1383764_at","cysteine-rich hydrophobic domain 2","Chic2"
"1383766_at","sarcoglycan, beta","Sgcb"
"1383778_at","TNF receptor associated factor 6","Traf6"
"1383779_at","ribosomal RNA processing 1B","Rrp1b"
"1383785_at","lymphoid enhancer binding factor 1","Lef1"
"1383792_at","synaptotagmin-like 1","Sytl1"
"1383810_at","zinc finger MYM-type containing 2","Zmym2"
"1383853_at","dual specificity tyrosine phosphorylation regulated kinase 3","Dyrk3"
"1383855_at","delta(4)-desaturase, sphingolipid 2","Degs2"
"1383871_at","syntaxin binding protein 2","Stxbp2"
"1383879_at","proline rich 15-like","Prr15l"
"1383895_at","dynein light chain roadblock-type 2","Dynlrb2"
"1383904_at","fibrinogen-like 1","Fgl1"
"1383906_at","neuralized E3 ubiquitin protein ligase 3","Neurl3"
"1383922_a_at","N(alpha)-acetyltransferase 10, NatA catalytic subunit","Naa10"
"1383926_at","BUB1 mitotic checkpoint serine/threonine kinase B","Bub1b"
"1383931_at","protein tyrosine phosphatase, receptor type, K","Ptprk"
"1383940_at","NUF2 component of NDC80 kinetochore complex","Nuf2"
"1383981_at","tumor protein p53 binding protein, 2","Tp53bp2"
"1383989_at","SRY-box transcription factor 4","Sox4"
"1384000_at","SRY-box transcription factor 4","Sox4"
"1384002_at","ATPase phospholipid transporting 11B (putative)","Atp11b"
"1384039_at","calmodulin regulated spectrin-associated protein family, member 2","Camsap2"
"1384041_at","deoxycytidine kinase","Dck"
"1384044_at","sarcoglycan, beta","Sgcb"
"1384046_at","mitochondrial fission regulator 1","Mtfr1"
"1384060_at","Janus kinase 1","Jak1"
"1384063_at","collagen triple helix repeat containing 1","Cthrc1"
"1384068_at","cytoskeleton associated protein 2","Ckap2"
"1384073_at","alcohol dehydrogenase, iron containing, 1","Adhfe1"
"1384108_at","cell division cycle 45","Cdc45"
"1384111_at","signal transducer and activator of transcription 1","Stat1"
"1384115_at","acyl-CoA thioesterase 2","Acot2"
"1384126_a_at","CCAAT/enhancer binding protein alpha","Cebpa"
"1384127_at","CCAAT/enhancer binding protein alpha","Cebpa"
"1384139_at","gap junction protein, gamma 1","Gjc1"
"1384147_at","eukaryotic translation initiation factor 1A","Eif1a"
"1384161_at","casein kinase 1, epsilon","Csnk1e"
"1384174_at","SHC binding and spindle associated 1","Shcbp1"
"1384180_at","interferon-induced protein with tetratricopeptide repeats 2","Ifit2"
"1384186_at","ER degradation enhancing alpha-mannosidase like protein 1","Edem1"
"1384203_at","phosphodiesterase 1B","Pde1b"
"1384227_at","protein tyrosine phosphatase, receptor type, K","Ptprk"
"1384231_at","SHC binding and spindle associated 1","Shcbp1"
"1384240_at","angiotensin II receptor, type 1a","Agtr1a"
"1384244_at","hydroxysteroid dehydrogenase like 2","Hsdl2"
"1384247_at","acyl-CoA synthetase long-chain family member 6","Acsl6"
"1384259_at","Rac GTPase-activating protein 1","Racgap1"
"1384262_at","protein phosphatase 1, regulatory subunit 3B","Ppp1r3b"
"1384280_at","nucleolar and spindle associated protein 1","Nusap1"
"1384298_at","myosin IF","Myo1f"
"1384331_at","sulfiredoxin 1","Srxn1"
"1384334_at","carbamoyl-phosphate synthase 1","Cps1"
"1384338_at","cell division cycle 45","Cdc45"
"1384340_a_at","N(alpha)-acetyltransferase 10, NatA catalytic subunit","Naa10"
"1384342_at","nischarin","Nisch"
"1384350_at","NCK associated protein 1 like","Nckap1l"
"1384367_at","histone cluster 2 H3 family member C2","Hist2h3c2"
"1384384_at","C2 calcium-dependent domain containing 5","C2cd5"
"1384392_at","cytochrome P450, family 26, subfamily b, polypeptide 1","Cyp26b1"
"1384427_at","MDM2 proto-oncogene","Mdm2"
"1384441_at","TNF receptor superfamily member 17","Tnfrsf17"
"1384494_at","PDS5 cohesin associated factor A","Pds5a"
"1384510_at","urocanate hydratase 1","Uroc1"
"1384528_at","retinoic acid induced 14","Rai14"
"1384529_at","growth regulating estrogen receptor binding 1","Greb1"
"1384582_at","TNF receptor associated factor 6","Traf6"
"1384628_at","iodotyrosine deiodinase","Iyd"
"1384652_at","HIV-1 Tat specific factor 1","Htatsf1"
"1384655_at","kirre like nephrin family adhesion molecule 3","Kirrel3"
